id,source,languaje,text,task1
1,twitter,es,RT @CesarAcunaP: Es necesario monitorear los avances del gobierno respecto a la lucha contra la pandemia. @Peru_APP es un partido que prop…,noAcoso
2,twitter,es,"RT @CesarAcunaP: En la reunión, los dirigentes y congresistas estamos analizando las #10PropuestasParaElProgreso que entregamos al presiden…",noAcoso
3,twitter,es,"RT @CarmenOmonte: Reunidos para trabajar por el país por todos los peruanos, con @CesarAcunaP , @BancadaAPP y dirigentes de @Peru_APP en T…",noAcoso
4,twitter,es,RT @CesarAcunaP: En Trujillo estamos junto a la dirigencia y la @BancadaAPP para fijar los lineamientos y directrices del accionar polític…,noAcoso
5,twitter,es,@CesarAcunaP y ya decia yo de donde tanta plata de la coca con los sanchez paredes @gvillasis y x q no investigas… https://t.co/xPZsnl14gF,noAcoso
6,twitter,es,"@CesarAcunaP @BancadaAPP @Peru_APP Qué ha echo este partido por detener el Covid19.???
Qué ha echo por detener el g… https://t.co/2ZyPCEpZLB",noAcoso
7,twitter,es,@CesarAcunaP @BancadaAPP @Peru_APP Y que fue sobre la devolución de AFP somos millones de aportantes y ex aportante… https://t.co/4D9tkxfHJj,noAcoso
8,twitter,es,"@CesarAcunaP @BancadaAPP @Peru_APP Estimado Cesar, podría triunfar tu partido si haces una limpieza al interno,caig… https://t.co/8PJD6RyEWu",noAcoso
9,twitter,es,"En la reunión, los dirigentes y congresistas estamos analizando las #10PropuestasParaElProgreso que entregamos al p… https://t.co/0UsVgSL5rX",noAcoso
10,twitter,es,En Trujillo estamos junto a la dirigencia y la @BancadaAPP para fijar los lineamientos y directrices del accionar… https://t.co/EdaqO3Wp4r,noAcoso
11,twitter,es,Extiendo mi solidaridad con el fundador de @podemos_peru José Luna Gálvez y con su familia. Le deseo una pronta recuperación.,noAcoso
12,twitter,es,"RT @JovenesMorados_: Frente al desempleo por la pandemia, muchos jóvenes, sobre todo mujeres, encaran esta situación creando sus propios em…",noAcoso
13,twitter,es,"RT @ZENAIDASOLISG: Por fin el Perú tendrá una LEY ANTIMONOPOLIO. Este es un día histórico. A partir de ahora, las grandes fusiones empresar…",noAcoso
14,twitter,es,@julioguzmanperu ahi te hablan https://t.co/FQRNtmYuns,noAcoso
15,twitter,es,@julioguzmanperu @partidomorado https://t.co/s0m5MUEPRK,noAcoso
16,twitter,es,@julioguzmanperu @partidomorado Me cago en estos jóvenes ignorantes carajo nunca hablaron con sus padres solo con… https://t.co/hmDBXUVGmq,acoso
17,twitter,es,@julioguzmanperu @partidomorado Hijos de la gran P vende patria no jodan ya está. Rechazado carajo el Peru nuestra… https://t.co/Xs6Cdg6gW1,acoso
18,twitter,es,RT @Pulmon_de_Susan: @julioguzmanperu @partidomorado Oe @julioguzmanperu! Este no era tu pata y un “pilar técnico” del Acuerdo de Escazú?…,noAcoso
19,twitter,es,"RT @partidomorado: El Partido Morado cuenta con más de 150 técnicos, de decenas de disciplinas, que integran el equipo de Plan de Gobierno.…",noAcoso
20,twitter,es,"RT @JovenesMorados_: Mañana, a las 7pm, tenemos #ViernesRepublicanos sobre 'Impacto del cambio climático en el proyecto republicano'. Los i…",noAcoso
21,twitter,es,"RT @GloriaMonteneg: .@partidomorado #PolíticaDeLaBuena la vida política y el ejercicio del poder para fortalecer la democracia, para la bú…",noAcoso
22,twitter,es,RT @BettySchaper1: Grandiosa la CONEXION MORADA realizada esta noche por el @partidomorado hubo un total de 1000 participantes incluido los…,noAcoso
23,twitter,es,RT @GloriaMonteneg: .@partidomorado Visión país que integra y articula todos los sectores programáticos para el desarrollo del país! Tiempo…,noAcoso
24,twitter,es,@partidomorado @julioguzmanperu @FSagasti Si quieren ganar deberían elegir otro representante pero sino se puede un… https://t.co/eTMsoSlETI,noAcoso
25,twitter,es,"RT @Luzdiazn: @partidomorado @julioguzmanperu @FSagasti Si Julio Guzmán ama al Perú como dice, que ceda la candidatura presidencial a F. Sa…",noAcoso
26,twitter,es,RT @mico_viejo: @partidomorado @tema0902 @julioguzmanperu @FSagasti Porque no entienden de una buena vez que el problema no es el partido M…,noAcoso
27,twitter,es,@partidomorado @julioguzmanperu @FSagasti @FSagasti debería ser candidato a la presidencia,noAcoso
28,twitter,es,@PFuerzaPopular @KeikoFujimori No. Gracias. Serán videos antiguos !!!!,noAcoso
